year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2024-12,2024,12,Dec,LRT,KJ,LRT Kelana Jaya,7540885,243254,31
2024-12,2024,12,Dec,MRT,KGL,MRT Kajang,7855033,253388,31
2024-12,2024,12,Dec,MRT,PYL,MRT Putrajaya,4471649,144247,31
2024-12,2024,12,Dec,Monorail,MR,KL Monorail,1901177,61328,31
2025-01,2025,1,Jan,LRT,AG/PH,LRT Ampang/Sri Petaling,5583947,180127,31
2025-01,2025,1,Jan,LRT,KJ,LRT Kelana Jaya,7199444,232240,31
2025-01,2025,1,Jan,MRT,KGL,MRT Kajang,7474956,241128,31
2025-01,2025,1,Jan,MRT,PYL,MRT Putrajaya,4324708,139507,31
2025-01,2025,1,Jan,Monorail,MR,KL Monorail,1812766,58476,31
2025-02,2025,2,Feb,LRT,AG/PH,LRT Ampang/Sri Petaling,5412652,193309,28
2025-02,2025,2,Feb,LRT,KJ,LRT Kelana Jaya,6969645,248916,28
